ocr_id;text;upper_left_y;upper_left_x;upper_right_y;upper_right_x;lower_right_y;lower_right_x;lower_left_y;lower_left_x
10782;масштаба):;1423;1002;1422;1116;1445;1116;1446;1002
10783;решения;1424;710;1424;804;1447;804;1447;710
10784;Материалы;1425;467;1424;590;1447;590;1448;467
10785;проектного;1425;592;1424;708;1446;708;1447;592
10786;(формата;1426;812;1426;910;1446;910;1446;812
10787;А4,;1426;918;1426;949;1444;949;1444;918
10788;без;1426;960;1426;992;1442;992;1442;960
10789;ПРИЛОЖЕНИЯ:;1429;79;1429;243;1444;243;1444;79
10790;фасады;1449;1037;1449;1120;1471;1120;1471;1037
10791;ситуационный;1451;474;1450;616;1472;616;1473;474
10792;план,;1451;619;1451;675;1472;675;1472;619
10793;этажей,;1452;852;1452;927;1470;927;1470;852
10794;разрезы,;1455;938;1455;1027;1471;1027;1471;938
10795;генплан,;1456;684;1456;769;1471;769;1471;684
10796;планы;1456;780;1456;842;1468;842;1468;780
10797;с;1478;483;1478;498;1497;498;1497;483
10798;цветовым;1478;500;1478;586;1497;586;1497;500
10799;решением.;1482;595;1482;704;1498;704;1498;595
10800;Верно:;1552;1166;1552;1257;1577;1257;1577;1166
